step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
7,CASH_OUT,386758.53,C58846105,0,0,C515132998,476250.73,4460317.7,0
95,TRANSFER,120027.13,C1589805574,22965,0,C1395984507,903935.66,1023962.79,0
9,PAYMENT,16611.7,C634357450,205666,189054.3,M1729054692,0,0,0
14,CASH_IN,130184.02,C540368981,9290892.06,9421076.08,C1656857487,369812.19,63206.07,0
16,PAYMENT,2902.54,C1164075259,0,0,M950187399,0,0,0
34,CASH_IN,263515.29,C48575585,1498096.51,1761611.8,C101156429,674765.15,423324.76,0
13,CASH_OUT,107428.02,C1092128657,20559,0,C1387437641,0,107428.02,0
36,CASH_IN,163445.39,C6772269,4730635.08,4894080.47,C414695030,209011.7,45566.31,0
13,CASH_OUT,141250.66,C457275784,18552,0,C128723112,251179.86,192872.09,0
36,CASH_OUT,98943.42,C443789524,0,0,C1161494433,5601566.63,5700510.04,0
10,CASH_IN,96950.07,C1294457735,6988048.36,7084998.42,C1908845822,316515.76,237577.35,0
12,CASH_OUT,102368.05,C904271603,0,0,C606815938,7209677.02,7312045.07,0
36,PAYMENT,5931.44,C1750263956,56856,50924.56,M257161392,0,0,0
3,PAYMENT,6028.79,C1093707336,22303,16274.21,M1644128841,0,0,0
13,CASH_IN,107784.62,C626223802,4330,112114.62,C1173506940,0,90745.4,0
9,CASH_OUT,182921.78,C1807229107,0,0,C2089779261,227033.93,822668.6,0
18,TRANSFER,236963.67,C362522234,11481,0,C75633907,0,236963.67,0
10,PAYMENT,14582.99,C808716911,262020.83,247437.84,M462776565,0,0,0
34,CASH_OUT,140128.95,C324046735,0,0,C710397720,205843.75,681171.06,0
10,CASH_IN,316735.36,C345436940,3362683.23,3679418.59,C1951579501,764606,0,0
22,CASH_OUT,433974.46,C361032859,49471.8,0,C1272625864,564262.13,998236.59,0
36,PAYMENT,23363.25,C841305247,0,0,M1483329679,0,0,0
11,CASH_IN,10555.73,C1921598537,10786,21341.73,C2006234135,34463.96,23908.23,0
36,CASH_OUT,163206.62,C1346315595,19427,0,C1160702986,0,163206.62,0
9,CASH_OUT,30748.02,C346082108,0,0,C1841866242,1714447.93,1745195.95,0
36,CASH_IN,157690.54,C1907329841,2660611.91,2818302.45,C1696443437,438071.08,280380.54,0
23,PAYMENT,39886.49,C1611236790,39666.2,0,M1503274163,0,0,0
35,PAYMENT,13870.12,C1984394259,0,0,M954266325,0,0,0
41,CASH_OUT,66404.7,C968460666,0,0,C261012753,2680592.86,2746997.56,0
9,PAYMENT,6401.74,C1512329383,0,0,M40859665,0,0,0
24,CASH_IN,198552.66,C1247850909,1776887.8,1975440.46,C1395961675,380326.85,181774.19,0
20,CASH_OUT,205829.49,C1805134245,0,0,C362585233,9454482.27,9660311.76,0
16,CASH_OUT,358247.92,C1016805457,83239,0,C588987175,0,358247.92,0
9,CASH_OUT,102386.55,C1127609584,964052.76,861666.21,C2091776959,149333.5,251720.04,0
45,PAYMENT,304.23,C1975241721,10440,10135.77,M2104234695,0,0,0
16,CASH_OUT,95645.31,C1106072092,29612,0,C153099671,5086208.88,5506070,0
33,CASH_OUT,16252.08,C304570451,0,0,C1382345886,1034562.8,1050814.88,0
94,CASH_OUT,237717.19,C701824997,0,0,C1337948914,300881.67,538598.86,0
47,PAYMENT,5888.48,C884518997,285.1,0,M1219219255,0,0,0
16,TRANSFER,1752389.5,C66175074,0,0,C1869980687,3428442.01,5180831.51,0
45,PAYMENT,5918.89,C987412996,495160,489241.11,M326366898,0,0,0
45,CASH_OUT,39749.67,C206059387,0,0,C1616128662,3616785.95,3656535.62,0
45,PAYMENT,3946.94,C414936181,0,0,M1343400397,0,0,0
19,TRANSFER,624944.43,C2002748210,179432.54,0,C474567538,2195677.66,2891610.07,0
14,CASH_OUT,59488.68,C1172376383,9949,0,C115809998,963423.01,1022911.7,0
20,PAYMENT,122.02,C364801633,4092,3969.98,M1218941135,0,0,0
33,PAYMENT,2245.01,C1785574390,265910,263664.99,M633632310,0,0,0
18,CASH_OUT,406138.43,C1495998750,0,0,C984817850,892298.95,1298437.38,0
45,PAYMENT,7841.17,C1043607125,170091,162249.83,M414360684,0,0,0
15,CASH_OUT,449173.34,C349604425,316784,0,C1725698531,1324878.74,1774052.08,0
15,TRANSFER,61161.64,C1901081431,0,0,C1928561696,201425.44,493474.83,0
37,CASH_OUT,3391.56,C54693168,538367,534975.44,C1869293792,456551.58,459943.14,0
36,CASH_IN,46124.83,C2006748067,308338,354462.83,C1366759024,535466.94,489342.11,0
39,CASH_IN,100033.48,C2013826859,152632.71,252666.18,C2060985600,147339.08,47305.6,0
43,PAYMENT,10721.04,C599523881,415,0,M1528662942,0,0,0
37,CASH_OUT,260719.64,C2125548619,41331,0,C1176181879,168703.73,429423.36,0
34,CASH_IN,127388.28,C363008885,2490030.67,2617418.95,C710824931,866037.62,1498085.69,0
9,TRANSFER,389620.2,C139105765,0,0,C483817115,1.01E+07,1.05E+07,0
18,CASH_OUT,20742.49,C1207687652,3463.73,0,C1986547374,624518.54,759025.09,0
43,CASH_IN,156776.88,C30559732,3651.92,160428.8,C352918381,394179.93,206439.54,0
48,CASH_IN,157565.3,C677414034,20610,178175.3,C1335912837,0,0,0
11,PAYMENT,4015.14,C1162886161,29106.11,25090.98,M1780934576,0,0,0
37,CASH_OUT,416955.29,C200673045,0,0,C1688209895,3525336.21,3938000.63,0
41,PAYMENT,27377,C707785691,10909,0,M866786930,0,0,0
38,CASH_OUT,269350.8,C882471874,94269,0,C196583373,1941694.09,2211044.89,0
93,PAYMENT,9257.85,C986823370,0,0,M1569296194,0,0,0
20,PAYMENT,1127.81,C1498763476,21050.69,19922.87,M315955969,0,0,0
38,PAYMENT,14308.28,C1483874283,0,0,M656483882,0,0,0
38,CASH_OUT,286184.16,C374967950,153833,0,C1445494857,0,286184.16,0
19,CASH_OUT,127324.93,C1723097643,2070.87,0,C391587677,4198460.73,4682966.65,0
19,CASH_OUT,173185.52,C1767467771,0,0,C1296841769,382005.87,555191.38,0
44,CASH_IN,53602.98,C29447496,119483,173085.98,C2138998043,241499.44,217574.08,0
12,PAYMENT,9546.99,C414043840,0,0,M1435942239,0,0,0
20,CASH_OUT,3523.99,C741493288,9729.25,6205.26,C1159315292,276428.9,279952.89,0
16,CASH_IN,336148.1,C1386248047,712,336860.1,C1769947269,0,0,0
10,PAYMENT,16150.21,C1239493867,201337,185186.79,M266250575,0,0,0
40,PAYMENT,28808.67,C1351315938,122846.03,94037.36,M275171739,0,0,0
20,PAYMENT,10327.83,C1494880320,0,0,M406872744,0,0,0
14,CASH_OUT,84652.57,C366560983,21588,0,C1354426181,77681.39,13804.51,0
39,PAYMENT,103.7,C1883800584,55737,55633.3,M894069210,0,0,0
34,CASH_IN,60667.2,C1799905747,61418,122085.2,C463176966,6743.59,0,0
18,PAYMENT,14327.79,C1842245505,388953.87,374626.08,M999925457,0,0,0
17,CASH_OUT,58043.84,C1184380598,0,0,C204028396,2251113.57,2309157.41,0
46,CASH_IN,65468.43,C1963924278,6705343.67,6770812.1,C1435474805,72717.76,7249.33,0
13,TRANSFER,483340.88,C1160838713,50719.45,0,C676826990,779021.76,1262362.64,0
11,CASH_OUT,60842.6,C1216498816,0,0,C148665287,2011639.73,2464932.19,0
36,CASH_IN,398744.16,C331021508,3129450.53,3528194.69,C3080345,440220.52,41476.37,0
41,CASH_IN,191541.01,C1960405060,7839611.66,8031152.67,C1114237181,8168356.4,7945834.48,0
40,PAYMENT,18171.96,C827920987,240156.34,221984.39,M118592709,0,0,0
34,CASH_OUT,305771.33,C965095446,0,0,C742494043,318829.99,624601.32,0
35,TRANSFER,91839.4,C249721345,0,0,C35719825,4447393.81,4539233.21,0
40,PAYMENT,3327.52,C504883674,90575,87247.48,M868381232,0,0,0
34,CASH_OUT,346493.29,C1563104632,24620,0,C413046895,3132349.4,3478842.69,0
45,PAYMENT,2187.68,C633328771,11353,9165.32,M384715868,0,0,0
14,CASH_IN,223758.95,C1717884372,10106,233864.95,C596626170,0,0,0
11,CASH_OUT,321044.88,C1344859679,4853,0,C1866827563,4948894.68,5325283.23,0
20,CASH_IN,62438.01,C1108001276,6549449.54,6611887.55,C721416315,262550.39,200112.38,0
42,CASH_OUT,221450.49,C1374389011,0,0,C213507706,482691.68,704142.17,0
93,CASH_IN,87375.75,C1310793019,60745,148120.75,C1395790246,994463.41,907087.66,0
36,PAYMENT,18693.82,C930719595,595,0,M1418639098,0,0,0
15,PAYMENT,11353.97,C119673289,48178,36824.03,M1684004057,0,0,0
23,PAYMENT,10164.49,C738856390,11122,957.51,M1150507505,0,0,0
34,PAYMENT,14015.83,C271774382,55022,41006.17,M146234234,0,0,0
19,CASH_OUT,104381.77,C1250240401,182502,78120.23,C415731507,1385462.74,1213031.15,0
37,CASH_IN,123835.1,C61176993,5182043.93,5305879.03,C128832991,429658.09,305822.99,0
38,TRANSFER,1656126.36,C1407021099,19612,0,C10011348,90785.19,2036658.76,0
13,PAYMENT,23076.31,C751214044,127915.77,104839.47,M781790221,0,0,0
17,CASH_OUT,7771.37,C1956503107,590302.91,582531.54,C263593301,3794241.35,4097494.21,0
34,CASH_OUT,488370.5,C1157160749,72129,0,C721822979,282248.68,770619.17,0
18,PAYMENT,23609.22,C88387149,0,0,M2081840089,0,0,0
36,PAYMENT,9045.28,C1067870498,0,0,M1078769325,0,0,0
18,CASH_OUT,412240.07,C1132606126,154278,0,C688837090,8032,414898.96,0
20,PAYMENT,5032.15,C1204951710,20645,15612.85,M212047046,0,0,0
9,PAYMENT,14891.74,C1477343939,0,0,M1252017825,0,0,0
35,PAYMENT,35690.89,C1853609363,47226.53,11535.64,M20927747,0,0,0
12,PAYMENT,25272.39,C63547244,16085,0,M606522228,0,0,0
17,CASH_IN,200744.12,C1489306996,50357,251101.12,C1005354440,489982.37,289238.25,0
41,PAYMENT,18093.62,C1628439309,38063.73,19970.11,M177433402,0,0,0
10,CASH_IN,26393.91,C401107320,3476746.48,3503140.39,C1447947175,972713.62,946319.71,0
20,PAYMENT,4777.55,C957031853,0,0,M373757677,0,0,0
11,PAYMENT,19018.26,C1513502910,35818,16799.74,M2089905550,0,0,0
35,CASH_OUT,458394.71,C851762310,0,0,C83599466,503703.07,1770061.76,0
11,PAYMENT,10910.72,C713518487,635434.76,624524.05,M1912776476,0,0,0
20,CASH_IN,135634.2,C210328293,3720746.37,3856380.57,C1007211847,171085.87,35451.66,0
40,TRANSFER,115707.75,C207112829,0,0,C75457651,6238726.91,6354434.66,0
18,PAYMENT,19433.6,C1257903153,567000.09,547566.49,M2067941091,0,0,0
94,TRANSFER,1104217.51,C1058579793,0,0,C669388825,1395019.3,3782009.6,0
21,CASH_IN,287147.62,C1923943832,1390443.66,1677591.28,C1064681485,780930.32,493782.7,0
46,PAYMENT,37661.7,C1083935389,0,0,M774837621,0,0,0
17,PAYMENT,5961.96,C1569316807,113769,107807.04,M350447211,0,0,0
8,PAYMENT,21681.47,C208393663,20761.69,0,M131710765,0,0,0
16,PAYMENT,14606.91,C1471126974,0,0,M737581818,0,0,0
15,CASH_IN,462695.08,C858061328,1132,463827.08,C1396319605,43542.23,0,0
40,CASH_IN,318589.84,C408324571,52902,371491.84,C1349897882,2374766.92,2056177.08,0
40,CASH_OUT,92902.89,C608454019,258061,165158.11,C1274463883,115002.42,207905.32,0
19,PAYMENT,1864.41,C225886418,203058.65,201194.24,M1620720527,0,0,0
41,PAYMENT,1049.84,C1235060592,0,0,M794150950,0,0,0
15,CASH_OUT,114995.27,C1212893961,0,0,C915126548,1141136.04,1256131.3,0
11,PAYMENT,29392.95,C1230274422,973667,944274.05,M413334634,0,0,0
17,CASH_OUT,235461.67,C64809768,145,0,C866923825,532203.97,1112637.84,0
21,TRANSFER,337044.48,C1417141898,41036,0,C996798674,4215649.15,4552693.62,0
38,PAYMENT,18630.47,C1235356028,50288,31657.53,M610638804,0,0,0
43,CASH_IN,246491.87,C2045629118,49808,296299.87,C145793593,1404759.81,1158267.94,0
14,CASH_IN,50610.98,C1377938651,6786691.81,6837302.78,C835472519,1923525.31,1872914.33,0
14,CASH_IN,66669.01,C262103034,7172004.45,7238673.46,C2107266392,1295599.55,1267239.46,0
35,TRANSFER,153720.17,C2083205046,0,0,C1331319301,308952.39,413084.8,0
18,PAYMENT,3481.32,C78735733,20216,16734.68,M1927679493,0,0,0
42,PAYMENT,48813.12,C933417583,210809.68,161996.56,M1659948194,0,0,0
15,CASH_OUT,88627.31,C1803777623,10623,0,C823934035,0,88627.31,0
41,CASH_OUT,46295.96,C1876054019,29757,0,C637091706,0,46295.96,0
9,CASH_IN,34091.93,C1052966470,8075250.09,8109342.02,C1838060526,2047704.16,2560087.65,0
15,CASH_IN,397751.85,C1799163893,21179,418930.85,C1574172340,130636.73,0,0
39,CASH_IN,24538.73,C1687455885,8979852.54,9004391.27,C631144528,246113.93,221575.19,0
10,CASH_IN,222749.22,C790233679,3291741.58,3514490.79,C217441120,1163174.1,940424.88,0
43,CASH_IN,9247.36,C1281484599,878050,887297.36,C431894474,159295.56,150048.2,0
34,CASH_OUT,58951.41,C1008050051,253770.12,194818.71,C372017580,9199865.44,9258816.85,0
18,CASH_IN,146691.17,C1076588114,19556,166247.17,C1483814383,0,0,0
22,PAYMENT,4487.78,C2003633079,3688,0,M674947835,0,0,0
39,CASH_OUT,141610.11,C479538116,0,0,C725454326,183211.91,324822.02,0
19,PAYMENT,9570.02,C1528354936,245533.38,235963.36,M1288701543,0,0,0
45,PAYMENT,10520.38,C56576845,153,0,M607055069,0,0,0
40,CASH_IN,198708.72,C1232231712,110042,308750.72,C1420798269,0,0,0
7,PAYMENT,1709.18,C481264792,14656,12946.82,M1478629136,0,0,0
43,PAYMENT,4550.34,C79679988,410472.02,405921.68,M812246130,0,0,0
20,CASH_OUT,93501.52,C276077448,11000,0,C554165507,0,93501.52,0
40,CASH_OUT,136812.17,C1556056381,122,0,C1572619272,179553.02,316365.18,0
34,CASH_IN,7506.48,C78292567,1244920.93,1252427.41,C302727981,132619.45,125112.97,0
34,PAYMENT,42386.45,C90724073,107346.73,64960.28,M1480360982,0,0,0
20,PAYMENT,1835.66,C1332475093,72010,70174.34,M52629121,0,0,0
9,CASH_OUT,25164.62,C1287282323,0,0,C1400181362,71132.15,41189.15,0
12,CASH_OUT,185999.23,C1119199608,19870,0,C1334272276,199791.38,109778.41,0
15,PAYMENT,12030.39,C1264492232,25311,13280.61,M177306289,0,0,0
41,CASH_IN,458444.67,C737642961,36669,495113.67,C973692089,0,0,0
22,PAYMENT,41620.3,C1240532080,268058.85,226438.56,M1610269746,0,0,0
42,CASH_OUT,23095.22,C1072160670,0,0,C517526511,329572.53,352667.75,0
12,PAYMENT,46628.38,C781291258,0,0,M898889888,0,0,0
14,CASH_OUT,508487.26,C1841198890,0,0,C1062071873,512613.85,1904528.76,0
42,CASH_OUT,115594.46,C390064571,0,0,C1739490311,236193.13,351787.59,0
11,PAYMENT,15042.5,C814538956,8820.24,0,M1545911522,0,0,0
10,PAYMENT,31975.59,C1363836264,0,0,M1222593868,0,0,0
16,CASH_OUT,53664.95,C1071431755,0,0,C416073345,73949.27,127614.23,0
34,PAYMENT,8227.97,C1482399896,893,0,M133016224,0,0,0
41,TRANSFER,1401212.76,C836012445,0,0,C1913279168,3012938.19,4414150.94,0
14,PAYMENT,30904.53,C2100489284,0,0,M1404433797,0,0,0
20,CASH_OUT,164266.74,C191998602,0,0,C130970903,846631.47,907302.78,0
19,PAYMENT,4628.1,C1460677712,88203.97,83575.87,M1160634516,0,0,0
10,PAYMENT,1972.57,C2028579100,26660,24687.43,M1760204824,0,0,0
9,CASH_OUT,402279.61,C350819439,316206.24,0,C1283755294,572035.91,538379.96,0
41,CASH_IN,107458.49,C666529489,3359262.06,3466720.55,C96538577,1199647.01,1733046.44,0
13,CASH_OUT,162431.34,C1402901301,4660,0,C1819398051,82558,219837.08,0
20,CASH_OUT,219170.86,C906913027,0,0,C215837455,246686.77,465857.63,0
37,PAYMENT,5064.64,C1288940915,251948.39,246883.75,M907400840,0,0,0
16,CASH_OUT,239471.14,C225254755,0,0,C475231857,5331974.18,5740319.94,0
9,PAYMENT,22203.46,C1916318281,40228,18024.54,M1452929640,0,0,0
46,CASH_IN,169954.68,C1194287338,3176922.79,3346877.47,C187556284,758317.97,588363.29,0
45,CASH_IN,23439.62,C1659176358,51831,75270.62,C1958075541,0,104026.57,0
21,PAYMENT,5566.55,C1618210859,11526,5959.45,M853298605,0,0,0
95,PAYMENT,1003.7,C304996134,17083.13,16079.43,M2111344608,0,0,0
41,PAYMENT,15550.36,C681382194,10096,0,M1095691143,0,0,0
43,PAYMENT,7038.24,C2037763251,2006,0,M1534178179,0,0,0
18,CASH_OUT,238742.68,C1728628537,0,0,C678298772,2799617.19,3199855.6,0
17,PAYMENT,17280.78,C1076540355,0,0,M141226737,0,0,0
42,DEBIT,2189.5,C300110833,0,0,C515576271,801733.96,803923.47,0
16,CASH_OUT,214356.62,C777488119,22958,0,C536421137,4073285.6,4287642.22,0
9,TRANSFER,1495148.77,C702407874,0,0,C2106301831,37250.37,3154952.8,0
36,CASH_OUT,143600.43,C724389180,41891,0,C496698792,60403.01,204003.43,0
20,PAYMENT,10420.4,C673681541,18936,8515.6,M835293093,0,0,0
13,CASH_OUT,164858.64,C2006010551,0,0,C1659522689,286266.41,451125.05,0
22,PAYMENT,5692.44,C101250204,30094,24401.56,M364442715,0,0,0
48,TRANSFER,133729.9,C206757560,50670,0,C139546121,195654.79,329384.69,0
24,PAYMENT,2274.51,C1431652166,0,0,M414611105,0,0,0
36,CASH_IN,54424.13,C265991754,40892,95316.13,C1874568200,163467.94,109043.81,0
17,PAYMENT,21229.82,C696702596,105627.11,84397.29,M1188658577,0,0,0
12,PAYMENT,29246.2,C1525409808,5501,0,M1663135395,0,0,0
94,PAYMENT,16334.15,C1027949397,24882,8547.85,M1028797322,0,0,0
34,CASH_OUT,94294.61,C1954838130,0,0,C2046405003,347164.72,441459.33,0
95,PAYMENT,14952.89,C257933140,0,0,M837412223,0,0,0
94,CASH_OUT,523224.25,C1437462838,0,0,C1548868129,619686.88,1142911.13,0
44,CASH_OUT,86335.65,C553378864,0,0,C1252823752,1461884.85,1548220.5,0
42,PAYMENT,487.7,C843600599,48064,47576.3,M1558279290,0,0,0
13,CASH_OUT,117452.59,C2117875814,0,0,C1241827956,1098443.44,1272263.8,0
19,CASH_OUT,338297.24,C711490956,36249,0,C1723965804,154613.09,1254039.94,0
42,CASH_OUT,58073.31,C1500577360,0,0,C1237617997,2079846.74,2137920.05,0
17,CASH_OUT,179235.26,C1980867338,177335,0,C42583047,29108,208343.26,0
42,CASH_IN,506459.66,C908944375,34682,541141.66,C163255774,1093814.84,625493.1,0
17,CASH_IN,56169.5,C531533068,154322,210491.5,C1389348424,50024,0,0
17,PAYMENT,45.08,C127351128,21459.56,21414.48,M217804299,0,0,0
33,PAYMENT,8703.6,C2143324972,19832,11128.4,M1761530363,0,0,0
9,CASH_IN,57561.35,C2018577843,1149578.81,1207140.16,C1722902384,1188257.29,1586435.49,0
43,PAYMENT,7110.16,C1907527947,114545.22,107435.06,M2062691403,0,0,0
41,CASH_IN,217314.4,C617217119,3683711.26,3901025.66,C517063103,3073510.17,2856195.78,0
20,PAYMENT,4748.43,C1563995150,48649.94,43901.51,M201890598,0,0,0
38,PAYMENT,6225.09,C1194060899,0,0,M2013220984,0,0,0
17,PAYMENT,16265.78,C1832501671,0,0,M1058898864,0,0,0
37,CASH_OUT,475249.8,C72164302,147353,0,C1358563918,231665.03,706914.83,0
45,PAYMENT,5925.57,C975113574,0,0,M1883350441,0,0,0
94,DEBIT,751.18,C1850201713,0,0,C1901111250,2143824.17,2144575.34,0
43,CASH_OUT,88122.49,C333023171,0,0,C360625359,418156.23,506278.72,0
10,CASH_IN,74564.12,C1251973633,392009.95,466574.07,C267819394,325660.32,400003.8,0
20,PAYMENT,4386.17,C2045505634,144,0,M97998568,0,0,0
41,TRANSFER,290743.79,C661019239,0,0,C1135287798,1012878.22,1303622.02,0
19,PAYMENT,8322.86,C1390620606,100271,91948.14,M1872304653,0,0,0
11,PAYMENT,32747.1,C1176034566,2371.66,0,M1317453472,0,0,0
19,CASH_OUT,13835.21,C1989328623,31181,17345.79,C2125633900,236473.32,250308.53,0
42,CASH_IN,60058.91,C468547341,51996.33,112055.24,C1590373981,904958.68,844899.77,0
37,CASH_OUT,171166.13,C137754785,19685,0,C1602256924,0,171166.13,0
43,TRANSFER,273447.74,C423010796,0,0,C1885054032,278482.34,551930.08,0
37,CASH_IN,352803.93,C1734998708,51926,404729.93,C57271799,29047,0,0
41,CASH_IN,217677.74,C1578335712,1038368.14,1256045.88,C1009893576,2237184.83,2019507.09,0
33,TRANSFER,459168.31,C202280241,720,0,C1051807138,0,459168.31,0
21,PAYMENT,1240.33,C623748463,21284,20043.67,M151604608,0,0,0
17,CASH_OUT,264318.5,C821242612,5582,0,C507233296,2508855.87,2655616.25,0
17,CASH_OUT,198993.74,C173571506,10691,0,C1066573152,30143.51,229137.26,0
10,PAYMENT,6343.14,C741740985,0,0,M332951216,0,0,0
44,CASH_OUT,28595.99,C2112072467,119176,90580.01,C1764652311,2152958.74,2181554.73,0
35,CASH_IN,80136.42,C1836274322,118607,198743.42,C1323115924,1052344,972207.58,0
40,CASH_IN,608011.4,C1682888258,2188678.64,2796690.04,C1394022137,1737162.07,1129150.67,0
40,CASH_OUT,241545,C844606792,43433,0,C347502933,1381052.13,1402967.98,0
41,CASH_OUT,250694.05,C1941735529,122712,0,C68930423,165731.21,591607.6,0
18,CASH_IN,129846,C13486214,26564,156410,C572298876,11601,0,0
16,CASH_IN,250736.15,C1708283947,1067292.48,1318028.64,C812377986,2182643.86,2130473.41,0
45,CASH_IN,75915.51,C1591765976,7551121.16,7627036.67,C11233726,314577.23,223512.07,0
40,TRANSFER,378235.52,C918356023,16669,0,C693328307,293189.05,671424.57,0
40,PAYMENT,6056.19,C1184307488,0,0,M1075192587,0,0,0
35,CASH_IN,53006.7,C1682562748,2.59E+07,2.60E+07,C2117320946,475200.49,422193.79,0
15,CASH_IN,143395.63,C2007293024,49609,193004.63,C2126085690,273759.49,130363.86,0
